X,Y,location_id,address_primary,city,state,zip,building_type_code,Service Area,Constructed,NeedsConstructed
-99.4679454,40.24721176,1393589321,10862 719 RD BLDG 2,ORLEANS,NE,68966,R,RA1/2,,X
-99.46583929,40.06124016,1140137066,10873 706 RD,ORLEANS,NE,68966,B,RA1/2,,X
-99.46394,40.2056485,1140136309,10889 716 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46360107,40.22325136,1140136831,71725 I RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46352806,40.06993093,1140137068,ELD-540 BLDG 7,ORLEANS,NE,68966,B,RA1/2,,X
-99.46288499,40.04285222,1140137069,70481 I RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46201291,40.16276721,1140136315,71303 I RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46187889,40.17256129,1140136314,71375 I RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.46080179,40.20509154,1140136310,RU-540 BLDG 8,ORLEANS,NE,68966,B,RA1/2,,X
-99.46063477,40.16256129,1140136306,O-540 BLDG 20,ORLEANS,NE,68966,B,RA1/2,,X
-99.46025673,40.16672161,1140136322,O-540 BLDG 16,ORLEANS,NE,68966,B,RA1/2,,X
-99.45844055,40.23501254,1140136832,RU-540,ORLEANS,NE,68966,B,RA1/2,,X
-99.45839554,40.2336263,1140136829,10914 718 RD,ORLEANS,NE,68966,B,RA1/2,,X
-99.45819052,40.09325736,1393589969,10911 708 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45754546,40.09394733,1393589970,10904 708 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45731244,40.09340738,1140136968,10915 708 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45627333,40.09376831,1463285323,10914 708 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45503921,40.09336637,1463285324,10929 708 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45478418,40.09311235,1140136973,10929 708 RD BLDG 2,ORLEANS,NE,68966,B,RA1/2,,X
-99.45471218,40.0936813,1140136976,10928 708 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45253496,40.24957799,1140137170,10951 719 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45118482,40.20596853,1140136324,64 IRIS RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45068977,40.2056875,1463284872,34 IRIS RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45051276,40.20558159,1463284871,71598 IRIS RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45039574,40.18545058,1140136307,71462 IRIS RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.45038474,40.15316835,1140136323,O-540 BLDG 17,ORLEANS,NE,68966,B,RA1/2,,X
-99.44859556,40.09253629,1140136971,10964 708 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.44720643,40.09238027,1140136981,10970 708 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.44504521,40.17635767,1140136325,10969 714 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.44467817,40.04587752,1140137072,10946 705 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.44447315,40.04644268,1140137061,10985 705 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.443978,40.04603764,1140137080,10936 705 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.44388909,40.04619165,1140137065,10934 705 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.44188489,40.04515255,1140137083,10998 705 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.44024073,40.19306234,1140136318,RU-540 BLDG 9,ORLEANS,NE,68966,B,RA1/2,,X
-99.44021273,40.19417145,1140136337,71513 JIGSAW RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.4389175,40.17584652,1140136311,O-540 BLDG 15,ORLEANS,NE,68966,B,RA1/2,,X
-99.43705641,40.20577151,1413989622,RU-540 BLDG 7,ORLEANS,NE,68966,B,RA1/2,,X
-99.43658436,40.17520856,1140136321,71400 JIGSAW RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.43533424,40.04514755,1140134958,11018 705 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.43472818,40.14940698,1140136327,O-540 BLDG 19,ORLEANS,NE,68966,B,RA1/2,,X
-99.43417812,40.19185712,1140136308,11043 715 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.42936264,40.1596889,1140136303,O-540 BLDG 18,ORLEANS,NE,68966,B,RA1/2,,X
-99.4289565,40.23503154,1140136826,11079 718 RD,ORLEANS,NE,68966,R,RA1/2,,X
-99.42768947,40.08897783,1140134967,11077 708 RD,ALMA,NE,68920,B,RA1/2,,X
-99.42735144,40.08023806,1140134964,,ALMA,NE,68920,B,RA1/2,,X
-99.42676238,40.23485842,1140136830,RU-540 BLDG 2,ORLEANS,NE,68966,B,RA1/2,,X
